select h1.bez, h2.bez, s.laenge_in_meter, s.laenge_in_meter / 10 as sekunden
from segment s
     join haltestelle h1 on h1.hid=s.hid_a 
     join haltestelle h2 on h2.hid=s.hid_b 
order by h1.bez, h2.bez
;

bez                       |bez                       |laenge_in_meter|sekunden|
--------------------------+--------------------------+---------------+--------+
Adenauerplatz             |WilmersdorferStr          |            705|      70|
AfrikanischeStr           |KurtSchumacherPlatz       |            510|      51|
Alexanderplatz            |KlosterStr                |            483|      48|
Alexanderplatz            |SchillingStr              |            734|      73|
Alexanderplatz            |WeinmeisterStr            |            590|      59|
AltMariendorf             |Westphalweg               |            697|      69|
AltstadtSpandau           |RathausSpandau            |            598|      59|
AltTempelhof              |Tempelhof                 |            530|      53|
AmrumerStr                |Leopoldplatz              |            822|      82|
AugsburgerStr             |SpichernStr               |            609|      60|
BayerischerPlatz          |BerlinerStr               |            629|      62|
BayerischerPlatz          |ViktoriaLuisePlatz        |            861|      86|
BerlinerStr               |BlisseStr                 |            737|      73|
BerlinerStr               |GüntzelStr                |            550|      55|
BerlinHauptbahnhof        |Bundestag                 |            694|      69|
BernauerStr               |VoltaStr                  |            485|      48|
BiesdorfSüd               |ElsterwerdaerPlatz        |           1076|     107|
BirkenStr                 |Westhafen                 |            470|      47|
BismarckStr               |RichardWagnerPlatz        |            637|      63|
BismarckStr               |SophieCharlottePlatz      |            538|      53|
Blaschkoallee             |Grenzallee                |           1231|     123|
BlisseStr                 |FehrbellinerPlatz         |            582|      58|
BoddinStr                 |Hermannplatz              |            806|      80|
Borsigwerke               |AltTegel                  |            939|      93|
Breitenbachplatz          |Podbielskiallee           |           1019|     101|
BritzSüd                  |ParchimerAllee            |            928|      92|
BülowStr                  |Nollendorfplatz           |            628|      62|
Bundesplatz               |BerlinerStr               |           1088|     108|
Bundestag                 |BrandenburgerTor          |            730|      73|
CottbusserPlatz           |Hellersdorf               |            643|      64|
DahlemDorf                |FreieUniversität          |            937|      93|
DeutscheOper              |BismarckStr               |            279|      27|
EberswalderStr            |Senefelderplatz           |            935|      93|
EisenacherStr             |BayerischerPlatz          |            689|      68|
ElsterwerdaerPlatz        |Wuhletal                  |           1297|     129|
ErnstReuterPlatz          |DeutscheOper              |            894|      89|
FehrbellinerPlatz         |HeidelbergerPlatz         |           1211|     121|
FehrbellinerPlatz         |KonstanzerStr             |            481|      48|
FrankfurterAllee          |MagdalenenStr             |            972|      97|
FrankfurterTor            |SamariterStr              |            774|      77|
FranzNeumannPlatz         |ResidenzStr               |            816|      81|
FranzösischeStr           |FriedrichStr              |            628|      62|
FreieUniversität          |OskarHeleneHeim           |            869|      86|
Friedrichsfelde           |Tierpark                  |           1143|     114|
FriedrichStr              |OranienburgerTor          |            545|      54|
FriedrichWilhelmPlatz     |Bundesplatz               |            660|      66|
Gesundbrunnen             |PankStr                   |            599|      59|
Gleisdreieck              |BülowStr                  |            833|      83|
Gleisdreieck              |KurfürstenStr             |            777|      77|
Gneisenaustr              |Mehringdamm               |            555|      55|
GörlitzerBahnhof          |KottbusserTor             |            728|      72|
Grenzallee                |Neukölln                  |            646|      64|
GüntzelStr                |SpichernStr               |            512|      51|
Halemweg                  |Siemensdamm               |            900|      90|
HalleschesTor             |KochStr                   |            992|      99|
HalleschesTor             |Möckernbrücke             |            592|      59|
Hansaplatz                |Turmstr                   |            872|      87|
Haselhorst                |Zitadelle                 |           1005|     100|
Hausvogteiplatz           |Stadtmitte                |            435|      43|
HeidelbergerPlatz         |RüdesheimerPlatz          |            796|      79|
HeinrichHeineStr          |Jannowitzbrücke           |            532|      53|
Hellersdorf               |LouisLewinStr             |           1009|     100|
Hermannplatz              |SchönleinStr              |            713|      71|
Hermannplatz              |Südstern                  |           1184|     118|
HermannStr                |LeineStr                  |            672|      67|
Hohenzollernplatz         |FehrbellinerPlatz         |            763|      76|
HolzhauserStr             |Borsigwerke               |            736|      73|
InnsbruckerPlatz          |RathausSchöneberg         |            585|      58|
JakobKaiserPlatz          |Halemweg                  |            482|      48|
Jannowitzbrücke           |Alexanderplatz            |            811|      81|
JohannisthalerChaussee    |BritzSüd                  |            967|      96|
Jungfernheide             |JakobKaiserPlatz          |            851|      85|
Kaiserdamm                |TheodorHeussPlatz         |            592|      59|
KaiserinAugustaStr        |AltTempelhof              |            606|      60|
KarlBonhoefferNervenklinik|RathausReinickendorf      |           1224|     122|
KarlMarxStr               |RathausNeukölln           |            625|      62|
KaulsdorfNord             |Kienberg                  |            794|      79|
Kienberg                  |CottbusserPlatz           |            746|      74|
Kleistpark                |EisenacherStr             |            738|      73|
KlosterStr                |MärkischesMuseum          |            633|      63|
KochStr                   |Stadtmitte                |            542|      54|
KonstanzerStr             |Adenauerplatz             |            749|      74|
